nohup: ignoring input
nohup: ignoring input
SGCN!

use cuda: True
Namespace(name='cora', k=None, lr=0.0005, n_clusters=7, n_z=10, cuda=True, pretrain_path='data/cora.pkl', n_input=1433)
SDCN(
  (ae): AE(
    (enc_1): Linear(in_features=1433, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=2000, bias=True)
    (z_layer): Linear(in_features=2000, out_features=10, bias=True)
    (dec_1): Linear(in_features=10, out_features=2000, bias=True)
    (dec_2): Linear(in_features=2000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=1433, bias=True)
  )
  (gnn_1): GNNLayer()
  (gnn_2): GNNLayer()
  (gnn_3): GNNLayer()
  (gnn_4): GNNLayer()
  (gnn_5): GNNLayer()
)
pae :acc 0.4516 , nmi 0.2462 , ari 0.2001 , f1 0.4271
0Q :acc 0.4516 , nmi 0.2462 , ari 0.2001 , f1 0.4271
0Z :acc 0.2976 , nmi 0.1670 , ari 0.0796 , f1 0.2602
0P :acc 0.4686 , nmi 0.2461 , ari 0.2071 , f1 0.4376


1Q :acc 0.4697 , nmi 0.2497 , ari 0.2142 , f1 0.4393
1Z :acc 0.3172 , nmi 0.1903 , ari 0.1131 , f1 0.2804
1P :acc 0.4856 , nmi 0.2548 , ari 0.2232 , f1 0.4500


2Q :acc 0.4797 , nmi 0.2570 , ari 0.2219 , f1 0.4465
2Z :acc 0.3623 , nmi 0.2130 , ari 0.1335 , f1 0.3213
2P :acc 0.4878 , nmi 0.2543 , ari 0.2255 , f1 0.4476


3Q :acc 0.4889 , nmi 0.2619 , ari 0.2287 , f1 0.4504
3Z :acc 0.3999 , nmi 0.2301 , ari 0.1521 , f1 0.3512
3P :acc 0.4948 , nmi 0.2587 , ari 0.2307 , f1 0.4514


4Q :acc 0.4956 , nmi 0.2618 , ari 0.2331 , f1 0.4523
4Z :acc 0.4372 , nmi 0.2514 , ari 0.1836 , f1 0.3765
4P :acc 0.5015 , nmi 0.2610 , ari 0.2348 , f1 0.4544


5Q :acc 0.5004 , nmi 0.2620 , ari 0.2368 , f1 0.4520
5Z :acc 0.4572 , nmi 0.2581 , ari 0.2051 , f1 0.3780
5P :acc 0.5041 , nmi 0.2621 , ari 0.2371 , f1 0.4531


6Q :acc 0.5070 , nmi 0.2623 , ari 0.2411 , f1 0.4527
6Z :acc 0.4767 , nmi 0.2668 , ari 0.2264 , f1 0.3698
6P :acc 0.5103 , nmi 0.2650 , ari 0.2411 , f1 0.4558


7Q :acc 0.5111 , nmi 0.2638 , ari 0.2416 , f1 0.4536
7Z :acc 0.4941 , nmi 0.2816 , ari 0.2440 , f1 0.3682
7P :acc 0.5103 , nmi 0.2653 , ari 0.2409 , f1 0.4528


8Q :acc 0.5103 , nmi 0.2638 , ari 0.2399 , f1 0.4510
8Z :acc 0.5030 , nmi 0.2882 , ari 0.2445 , f1 0.3704
8P :acc 0.5103 , nmi 0.2642 , ari 0.2386 , f1 0.4521


9Q :acc 0.5114 , nmi 0.2642 , ari 0.2393 , f1 0.4506
9Z :acc 0.5114 , nmi 0.2962 , ari 0.2499 , f1 0.3694
9P :acc 0.5111 , nmi 0.2632 , ari 0.2384 , f1 0.4503


10Q :acc 0.5140 , nmi 0.2667 , ari 0.2412 , f1 0.4520
10Z :acc 0.5155 , nmi 0.3012 , ari 0.2529 , f1 0.3671
10P :acc 0.5126 , nmi 0.2643 , ari 0.2390 , f1 0.4514


11Q :acc 0.5162 , nmi 0.2668 , ari 0.2414 , f1 0.4528
11Z :acc 0.5210 , nmi 0.3116 , ari 0.2622 , f1 0.3671
11P :acc 0.5159 , nmi 0.2668 , ari 0.2401 , f1 0.4536


12Q :acc 0.5177 , nmi 0.2685 , ari 0.2417 , f1 0.4533
12Z :acc 0.5258 , nmi 0.3137 , ari 0.2701 , f1 0.3673
12P :acc 0.5174 , nmi 0.2682 , ari 0.2407 , f1 0.4537


13Q :acc 0.5170 , nmi 0.2678 , ari 0.2406 , f1 0.4523
13Z :acc 0.5332 , nmi 0.3209 , ari 0.2776 , f1 0.3722
13P :acc 0.5166 , nmi 0.2686 , ari 0.2397 , f1 0.4531


14Q :acc 0.5166 , nmi 0.2683 , ari 0.2406 , f1 0.4508
14Z :acc 0.5362 , nmi 0.3246 , ari 0.2814 , f1 0.3719
14P :acc 0.5166 , nmi 0.2677 , ari 0.2394 , f1 0.4531


15Q :acc 0.5174 , nmi 0.2681 , ari 0.2400 , f1 0.4513
15Z :acc 0.5340 , nmi 0.3204 , ari 0.2766 , f1 0.3703
15P :acc 0.5166 , nmi 0.2681 , ari 0.2392 , f1 0.4523


