,sourceNodeId,targetNodeId,relationshipType
0,35,1033,CITES
1,35,103482,CITES
2,35,103515,CITES
3,35,1050679,CITES
4,35,1103960,CITES
5,35,1103985,CITES
6,35,1109199,CITES
7,35,1112911,CITES
8,35,1113438,CITES
9,35,1113831,CITES
10,35,1114331,CITES
11,35,1117476,CITES
12,35,1119505,CITES
13,35,1119708,CITES
14,35,1120431,CITES
15,35,1123756,CITES
16,35,1125386,CITES
17,35,1127430,CITES
18,35,1127913,CITES
19,35,1128204,CITES
20,35,1128227,CITES
21,35,1128314,CITES
22,35,1128453,CITES
23,35,1128945,CITES
24,35,1128959,CITES
25,35,1128985,CITES
26,35,1129018,CITES
27,35,1129027,CITES
28,35,1129573,CITES
29,35,1129683,CITES
30,35,1129778,CITES
31,35,1130847,CITES
32,35,1130856,CITES
33,35,1131116,CITES
34,35,1131360,CITES
35,35,1131557,CITES
36,35,1131752,CITES
37,35,1133196,CITES
38,35,1133338,CITES
39,35,1136814,CITES
40,35,1137466,CITES
41,35,1152421,CITES
42,35,1152508,CITES
43,35,1153065,CITES
44,35,1153280,CITES
45,35,1153577,CITES
46,35,1153853,CITES
47,35,1153943,CITES
48,35,1154176,CITES
49,35,1154459,CITES
50,35,116552,CITES
51,35,12576,CITES
52,35,128540,CITES
53,35,132806,CITES
54,35,135130,CITES
55,35,141342,CITES
56,35,141347,CITES
57,35,148170,CITES
58,35,15670,CITES
59,35,1688,CITES
60,35,175291,CITES
61,35,178727,CITES
62,35,18582,CITES
63,35,190697,CITES
64,35,190706,CITES
65,35,1956,CITES
66,35,197054,CITES
67,35,198443,CITES
68,35,198653,CITES
69,35,206371,CITES
70,35,210871,CITES
71,35,229635,CITES
72,35,231249,CITES
73,35,248425,CITES
74,35,249421,CITES
75,35,254923,CITES
76,35,259701,CITES
77,35,259702,CITES
78,35,263279,CITES
79,35,263498,CITES
80,35,265203,CITES
81,35,273152,CITES
82,35,27510,CITES
83,35,28290,CITES
84,35,286500,CITES
85,35,287787,CITES
86,35,28851,CITES
87,35,289779,CITES
88,35,289780,CITES
89,35,289781,CITES
90,35,307015,CITES
91,35,335733,CITES
92,35,33904,CITES
93,35,33907,CITES
94,35,35061,CITES
95,35,38205,CITES
96,35,387795,CITES
97,35,415693,CITES
98,35,41714,CITES
99,35,427606,CITES
100,35,44368,CITES
101,35,45599,CITES
102,35,46079,CITES
103,35,46431,CITES
104,35,486840,CITES
105,35,48766,CITES
106,35,503883,CITES
107,35,503893,CITES
108,35,513189,CITES
109,35,54129,CITES
110,35,54131,CITES
111,35,56119,CITES
112,35,561238,CITES
113,35,568857,CITES
114,35,573964,CITES
115,35,573978,CITES
116,35,574009,CITES
117,35,574264,CITES
118,35,574462,CITES
119,35,575077,CITES
120,35,575292,CITES
121,35,575331,CITES
122,35,576725,CITES
123,35,576795,CITES
124,35,577227,CITES
125,35,578780,CITES
